Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Labels,Fix Version
Epic,Socle technique et migrations,"Fondations transverses : migrations, configuration, conventions d'erreur et de pagination. Bloque la quasi-totalité des autres épopées.",Socle technique et migrations,,High,,socle,,
Story,Remplacer synchronize par des migrations TypeORM versionnées,"Le schéma est actuellement généré par `synchronize`. En production, cette option peut supprimer des colonnes, et donc des données. Il faut passer à des migrations versionnées et désactiver `synchronize` en dehors du développement.

Critères d'acceptation :
- `synchronize` vaut false en staging et en production
- Les scripts `migration:generate`, `migration:run` et `migration:revert` existent
- La CI échoue si une entité est modifiée sans migration correspondante",,Socle technique et migrations,Highest,5,socle,mvp,MVP
Story,Générer la migration initiale du schéma,"Produire la première migration couvrant les 18 entités existantes, tables de jointure incluses (`evenement_sponsors`, `vote_options`).

Critères d'acceptation :
- `migration:run` crée le schéma complet depuis une base vide
- `migration:revert` le supprime proprement
- Les index uniques sont présents : `users.email`, `inscriptions.code_billet`, `transactions.reference`, `articles.slug`, `generations.annee`, `votes(sondage, user)`",,Socle technique et migrations,Highest,3,socle,mvp,MVP
Story,Ajouter PostgreSQL au docker-compose,"Le `docker-compose.yml` ne contient que Mailpit, PostgreSQL y est commenté. Un nouvel arrivant doit pouvoir démarrer la base sans installation locale.

Critères d'acceptation :
- `docker compose up -d` démarre PostgreSQL et Mailpit
- Les identifiants correspondent à ceux du `.env.example`
- Un volume nommé assure la persistance des données",,Socle technique et migrations,High,2,socle,mvp,MVP
Story,Valider la configuration au démarrage,"Compléter `env.validation.ts` pour que l'API refuse de démarrer si une variable requise manque ou est mal typée, plutôt que d'échouer plus tard à l'exécution.

Critères d'acceptation :
- Toute variable absente ou invalide provoque un échec explicite au démarrage
- Le message d'erreur nomme la variable fautive
- Les valeurs par défaut de développement restent fonctionnelles",,Socle technique et migrations,High,3,socle,mvp,MVP
Story,Unifier le format des erreurs,"Mettre en place un filtre d'exception global. Toutes les erreurs doivent sortir sous la même forme, sans jamais laisser fuiter de trace technique vers le client.

Critères d'acceptation :
- Réponse unifiée : code, message, horodatage, chemin
- Les erreurs 500 sont journalisées intégralement mais renvoient un message générique
- Les erreurs de validation listent les champs invalides",,Socle technique et migrations,High,3,socle,mvp,MVP
Story,"Factoriser la pagination, le tri et le filtrage","Toutes les listes (événements, produits, articles, annuaire, utilisateurs) ont besoin de la même mécanique. La factoriser évite de la réécrire dans chaque module.

Critères d'acceptation :
- DTO de pagination commun, avec une borne maximale sur la taille de page
- Réponse enveloppée : données, total, page, nombre de pages
- Tri restreint à une liste blanche de champs, pour éviter l'injection dans la clause ORDER BY",,Socle technique et migrations,High,5,socle,mvp,MVP
Story,Créer un jeu de données de développement,"Un script de seed permettant de disposer d'une base représentative sans saisie manuelle.

Critères d'acceptation :
- Crée une génération active, des utilisateurs de chaque rôle, des événements, des produits, des sondages et des articles
- Idempotent : deux exécutions ne dupliquent rien
- Jamais exécutable en production",,Socle technique et migrations,Medium,3,socle,v1,V1
Story,Arbitrer la politique de suppression et de conservation,"Choisir entre suppression physique et suppression logique pour chaque entité, en cohérence avec les `onDelete` déjà posés (CASCADE, SET NULL, RESTRICT).

Critères d'acceptation :
- Chaque entité a une politique documentée
- La suppression d'un utilisateur préserve la traçabilité comptable des transactions
- Les règles sont couvertes par des tests",,Socle technique et migrations,Medium,5,socle,v1,V1
Epic,Authentification et comptes,"Inscription, connexion, jetons, rôles et SSO universitaire. Prérequis de tous les endpoints protégés.",Authentification et comptes,,High,,auth,,
Story,Inscrire un utilisateur par email et mot de passe,"Créer le DTO et l'endpoint d'inscription. `passwordHash` est nullable en base pour les comptes SSO, mais il est obligatoire sur ce parcours.

Critères d'acceptation :
- Mot de passe haché avec bcrypt, jamais stocké en clair
- Email unique : un doublon renvoie une erreur explicite
- La politique de robustesse du mot de passe est appliquée et documentée
- L'email de bienvenue part via `MailService`",,Authentification et comptes,Highest,3,auth,mvp,MVP
Story,Émettre les jetons à la connexion,"Endpoint de connexion renvoyant un access token de courte durée et un refresh token de longue durée.

Critères d'acceptation :
- Des identifiants invalides donnent un message indifférencié, pour ne pas révéler l'existence d'un compte
- Un compte dont `isActive` vaut false ne peut pas se connecter
- Les durées de validité sont configurables",,Authentification et comptes,Highest,5,auth,mvp,MVP
Story,Faire tourner et révoquer le refresh token,"`User.refreshTokenHash` existe déjà. Il doit servir à invalider un refresh token dès qu'il est réutilisé, afin de limiter l'impact d'un vol de jeton.

Critères d'acceptation :
- Le refresh token est stocké haché, jamais en clair
- Chaque rafraîchissement émet un nouveau couple et invalide le précédent
- Rejouer un ancien refresh token échoue",,Authentification et comptes,Highest,5,auth,mvp,MVP
Story,Déduire le rôle et la promotion depuis l'email universitaire,"Un email du domaine universitaire donne le rôle STUDENT et renseigne la promotion (par exemple 2027), ce qui conditionne le tarif campus. Tout autre domaine donne VISITOR.

Critères d'acceptation :
- Le domaine universitaire attribue STUDENT et renseigne `promotion`
- Les autres domaines donnent VISITOR
- La règle d'extraction est couverte par des tests, cas limites inclus
- Le rôle ADMIN n'est jamais attribuable par ce mécanisme",,Authentification et comptes,High,5,auth,mvp,MVP
